trial_id,seed,vendor_id,scenario_type,attack_vector,authenticated,detection_occurred,is_false_positive,detection_time,containment_occurred,containment_time,response_latency,initial_risk_score,final_risk_score,risk_delta,assets_compromised,assets_blocked,files_compromised,files_blocked,lateral_transitions_successful,sensitive_assets_reached,internal_assets_reached
1,671487,VEND-001,BASELINE,LATERAL_PROBE,True,False,False,,False,,,62.2,69.8,7.6,10,0,5,0,9,4,3
1,671487,VEND-001,PROTECTED,LATERAL_PROBE,True,True,False,1.2,True,1.8,0.6,62.2,24.3,-37.9,2,2,0,5,1,0,0
2,117739,VEND-001,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,62.2,69.8,7.6,10,0,5,0,9,4,3
2,117739,VEND-001,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,62.2,24.3,-37.9,2,2,0,5,1,0,0
3,27225,VEND-001,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,62.2,69.8,7.6,10,0,5,0,9,4,3
3,27225,VEND-001,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,62.2,24.3,-37.9,2,2,0,5,1,0,0
4,778572,VEND-001,BASELINE,CREDENTIAL_COMPROMISE,True,False,False,,False,,,62.2,69.8,7.6,10,0,5,0,9,4,3
4,778572,VEND-001,PROTECTED,CREDENTIAL_COMPROMISE,True,True,False,1.2,True,1.8,0.6,62.2,24.3,-37.9,2,2,0,5,1,0,0
5,289389,VEND-001,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,62.2,69.8,7.6,10,0,5,0,9,4,3
5,289389,VEND-001,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,62.2,24.3,-37.9,2,2,0,5,1,0,0
6,257787,VEND-001,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,62.2,69.8,7.6,10,0,5,0,9,4,3
6,257787,VEND-001,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,62.2,24.3,-37.9,2,2,0,5,1,0,0
7,235053,VEND-001,BASELINE,NORMAL_SESSION,False,False,False,,False,,,62.2,62.2,0.0,1,0,0,0,1,0,0
7,235053,VEND-001,PROTECTED,NORMAL_SESSION,False,False,False,,False,,,62.2,24.3,-37.9,1,0,0,0,1,0,0
8,147316,VEND-001,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,62.2,69.8,7.6,10,0,5,0,9,4,3
8,147316,VEND-001,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,62.2,24.3,-37.9,2,2,0,5,1,0,0
9,773246,VEND-001,BASELINE,CREDENTIAL_COMPROMISE,True,False,False,,False,,,62.2,69.8,7.6,10,0,5,0,9,4,3
9,773246,VEND-001,PROTECTED,CREDENTIAL_COMPROMISE,True,True,False,1.2,True,1.8,0.6,62.2,24.3,-37.9,2,2,0,5,1,0,0
10,108473,VEND-001,BASELINE,NORMAL_SESSION,False,False,False,,False,,,62.2,62.2,0.0,1,0,0,0,1,0,0
